DESTINATIONID,Place Name,State,Tourist Location,Popularity,Review,Type,Budget
1,Abohar,Punjab,"Nehru Park, Punjab",Medium,"Urban park, recreational activities.",Nature,1000
2,Abohar,Punjab,Shri Hanuman Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1500
3,Abohar,Punjab,Gurudwara Sri Guru Teg Bahadur Sahib Ji,Medium,"Sikh gurdwara, religious rituals.",Spiritual,2000
4,Adilabad,Telangana,Basar Saraswati Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
5,Adilabad,Telangana,Pochera Waterfalls,Medium,"Waterfall, scenic beauty.",Nature,1500
6,Adilabad,Telangana,Kuntala Waterfalls,Medium,"Waterfall, natural beauty.",Nature,2000
7,Adilabad,Telangana,Kuntala Waterfall,High,"Spectacular waterfall, natural beauty.",Nature,1000
8,Adilabad,Telangana,Jainath Temple,High,"Hindu temple, architectural beauty.",Spiritual,1500
9,Adilabad,Telangana,Gudem Satyanarayana Swamy Temple,High,"Hindu temple, religious rituals.",Spiritual,2000
10,Adilabad,Telangana,Kadam Dam,High,"Water reservoir, boating, and fishing.",Nature,1000
11,Adilabad,Telangana,Sahastrakund Waterfalls,High,"Spectacular waterfall, natural beauty.",Nature,1500
12,Adilabad,Telangana,Kala Ashram,High,"Cultural center, traditional arts and crafts.",Unique,2000
13,Adilabad,Telangana,Sirpur Lake,High,"Picnic spot, boating, and leisure.",Nature,1000
14,Adilabad,Telangana,Temple of Saraswati,High,"Hindu temple, religious significance.",Spiritual,1500
15,Adoni,Andhra Pradesh,Adoni Fort,Medium,"Historical fort, architectural beauty.",Historical,2000
16,Adoni,Andhra Pradesh,Chippagiri,Medium,"Hill station, panoramic views.",Nature,1000
17,Adoni,Andhra Pradesh,Konda Reddy Fort,Medium,"Historical fort, ruins.",Historical,1500
18,Agartala,Tripura,Ujjayanta Palace,High,"Royal palace, architectural beauty.",Historical,2000
19,Agartala,Tripura,Neermahal Palace,Medium,"Water palace, scenic location.",Historical,1000
20,Agartala,Tripura,Sepahijala Wildlife Sanctuary,Medium,"Wildlife sanctuary, botanical garden.",Nature,1500
21,Agartala,Tripura,Jagannath Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
22,Agartala,Tripura,Neermahal,Medium,"Historical palace, architectural beauty.",Historical,1000
23,Agartala,Tripura,Sipahijala Wildlife Sanctuary,High,"Wildlife sanctuary, biodiversity hotspot.",Nature,1500
24,Agartala,Tripura,Unakoti,High,"Rock-cut sculptures, religious significance.",Spiritual,2000
25,Agartala,Tripura,Deotamura,High,"Cave complex, ancient rock carvings.",Historical,1000
26,Agartala,Tripura,Agartala City Centre,Medium,"Commercial hub, shopping, and dining.",City,1500
27,Agartala,Tripura,Durgabari Tea Estate,Medium,"Tea plantation, scenic beauty.",Nature,2000
